3118905,ES,CM,CU,40.29732,-2.02146,16121,Castilla - La Mancha,Cuenca,"Majadas, Las",Las Majadas,Las Majadas,"Las Majadas,Majadas",371,16142
3119119,ES,CL,LE,42.96708,-6.12785,24145,Castilla - Leon,León,San Emiliano,La Riera,La Riera,La Riera,0,24143
3119185,ES,AS,O,43.42007,-5.43111,33076,Asturias,Asturias,Villaviciosa,Puerta,La Puerta,,0,33310
3119333,ES,CL,LE,42.73547,-6.56573,24019,Castilla - Leon,León,Berlanga del Bierzo,Langre,Langre,Langre,0,24438
3119425,ES,CT,B,41.83333,1.88333,08175,Cataluna,Barcelona,Puig-reig,"Ametlla De Merola, L'",L’Ametlla de Merola,"Ametlla de Merola,L'Ametlla de Merola,La Ametlla de Merola,L’Ametlla de Merola",0,08672
3119516,ES,CL,SG,40.8536,-4.16387,40113,Castilla - Leon,Segovia,"Losa, La",La Losa,La Losa,La Losa,470,40420
3119590,ES,CL,SA,41.07164,-6.09061,37150,Castilla - Leon,Salamanca,Gejuelo del Barro,La Huerfana,La Huérfana,"La Huerfana,La Huérfana",0,37114
3119860,ES,CL,LE,42.48181,-6.72472,24022,Castilla - Leon,León,Borrenes,La Chana,La Chana,La Chana,0,24444
3119978,ES,CL,LE,42.66798,-6.40629,24014,Castilla - Leon,León,Bembibre,Labaniego,Labaniego,Labaniego,0,24319
3120073,ES,CT,L,41.54847,0.82451,25119,Cataluna,Lleida,Juneda,Juneda,Juneda,Juneda,3048,25430
3120671,ES,CL,BU,42.32264,-3.92075,09125,Castilla - Leon,Burgos,Estépar,Hormaza,Hormaza,,0,09230
3120817,ES,CB,S,43.36245,-3.73231,39042,Cantabria,Cantabria,Medio Cudeyo,Hermosa,Hermosa,Hermosa,0,39724
3122186,ES,PV,VI,42.89936,-2.72787,01018,Pais Vasco,Álava,Zigoitia,Foronda,Foronda,,0,01196
3122186,ES,PV,VI,42.89936,-2.72787,01018,Pais Vasco,Álava,Zigoitia,Artatza Foronda,Foronda,,0,01196
3122740,ES,RI,LO,42.32953,-2.85092,26060,La Rioja,La Rioja,Estollo,Estollo,Estollo,Estollo,129,26328
3122974,ES,CM,GU,40.41324,-3.0046,19111,Castilla - La Mancha,Guadalajara,Escariche,Escopete,Escopete,Escopete,74,19119
3123368,ES,CL,SA,41.08074,-5.39901,37239,Castilla - Leon,Salamanca,"Pedroso de la Armuña, El",El Pedroso De La Armuña,El Pedroso de la Armuña,"El Pedroso de la Armuna,El Pedroso de la Armuña",268,37410
3123640,ES,NC,NA,42.01832,-1.55686,31106,Navarra,Navarra,Fontellas,El Bocal,El Bocal,El Bocal,0,31512
3123704,ES,AS,O,43.40037,-7.15072,33063,Asturias,Asturias,San Tirso de Abres,Eilale,Eilale,Eilale,0,33774
3124164,ES,CL,BU,43.00703,-3.43597,09209,Castilla - Leon,Burgos,Medina de Pomar,Colina De Losa,Cubillos de Losa,,0,09514
3124164,ES,CL,BU,43.00703,-3.43597,09209,Castilla - Leon,Burgos,Medina de Pomar,Junta De Traslaloma,Cubillos de Losa,,0,09514
3124164,ES,CL,BU,43.00703,-3.43597,09209,Castilla - Leon,Burgos,Medina de Pomar,Lastras De Las Heras,Cubillos de Losa,,0,09514
3124164,ES,CL,BU,43.00703,-3.43597,09209,Castilla - Leon,Burgos,Medina de Pomar,Cubillo De Losa,Cubillos de Losa,,0,09514
3124164,ES,CL,BU,43.00703,-3.43597,09209,Castilla - Leon,Burgos,Medina de Pomar,Tabliega De Losa,Cubillos de Losa,,0,09514
3124714,ES,CT,L,41.75136,1.23505,25132,Cataluna,Lleida,Massoteres,Concabella,Concabella,Concabella,0,25211
3124845,ES,CL,BU,42.99541,-3.66071,09215,Castilla - Leon,Burgos,Merindad de Sotoscueva,Cogullos,Cogullos,Cogullos,0,09557
3125490,ES,CL,BU,42.45676,-3.72549,09287,Castilla - Leon,Burgos,Quintanaortuño,Celadilla Sotobrin,Celadilla-Sotobrín,"Celadilla-Sotobrin,Celadilla-Sotobrín",0,09140
3126146,ES,AS,O,43.41292,-6.84596,33007,Asturias,Asturias,Boal,Carrugueiro,Carrugueiro,Carrugueiro,0,33728
3127233,ES,CL,AV,40.94218,-4.84184,05064,Castilla - Leon,Ávila,Constanzana,Cabezas De Alambre,Cabezas de Alambre,Cabezas de Alambre,191,05217
3127413,ES,CB,S,43.21475,-3.75645,39082,Cantabria,Cantabria,Selaya,Bustantegua,Bustantegua,Bustantegua,0,39696
3127521,ES,MD,M,40.9909,-3.63365,28027,Madrid,Madrid,Buitrago del Lozoya,Buitrago De Lozoya,Buitrago del Lozoya,"Buitrago,Buitrago de Lozoya,Buitrago del Lozoya,Buitrago del Lozoyo,Buitrago-del'-Losoja,Bujtrago-del'-Losojja,bu yi te la ge de e suo ya,bwytrajw dyl wzwya,Буйтраго-дель-Лосойя,Буїтраго-дель-Лосоя,بويتراجو ديل وزويا,布伊特拉戈德略索亚",1811,28730
3127521,ES,MD,M,40.9909,-3.63365,28097,Madrid,Madrid,Navarredonda y San Mamés,Navarredonda (Buitrago),Buitrago del Lozoya,"Buitrago,Buitrago de Lozoya,Buitrago del Lozoya,Buitrago del Lozoyo,Buitrago-del'-Losoja,Bujtrago-del'-Losojja,bu yi te la ge de e suo ya,bwytrajw dyl wzwya,Буйтраго-дель-Лосойя,Буїтраго-дель-Лосоя,بويتراجو ديل وزويا,布伊特拉戈德略索亚",1811,28739
3128164,ES,CB,S,43.33631,-3.4083,39002,Cantabria,Cantabria,Ampuero,Bernales,Bernales,Bernales,0,39849
6325101,ES,PV,SS,43.2701,-2.01304,20902,Pais Vasco,Guipúzcoa,Lasarte-Oria,Larrekoetxe,Larrekoetxe,"Larrekoetxe,Larrekoetxea",0,20160
6544361,ES,CN,GC,28.0574,-14.3186,35015,Canarias,Las Palmas,Pájara,Las Gaviotas,Las Gaviotas,,0,35625
7871421,ES,CB,S,43.4112,-3.49386,39009,Cantabria,Cantabria,Bárcena de Cicero,La Fragua,Barrio de la Fragua,,0,39790
2510667,ES,CN,GC,28.09894,-15.47218,35016,Canarias,Las Palmas,Las Palmas de Gran Canaria,"Cortijo, El (Tamaraceite)",Tamaraceite,,0,35018
2510667,ES,CN,GC,28.09894,-15.47218,35016,Canarias,Las Palmas,Las Palmas de Gran Canaria,Tamaraceite,Tamaraceite,,0,35018
2510968,ES,AN,J,38.29777,-2.65229,23081,Andalucia,Jaén,Segura de la Sierra,Segura De La Sierra,Segura de la Sierra,"Segura de la Sierra,Segura-de-la-S'erra,sai gu la de la xie la,sgwra d la syra,syghwra dy la syyra,Сегура-де-ла-Сьерра,Сегура-де-ла-Сьєрра,سيغورا دي لا سييرا,سگورا د لا سیرا,塞古拉德拉谢拉",1773,23379
