2962283,IE,,,52.44917,-9.06111,,,,,Newcastle West,Newcastle West,"An Caislean Nua,An Caislean Nua Thiar,An Caisleán Nua,An Caisleán Nua Thiar,N'jukasl-Uehst,Newcastle,Newcastle West,Njukasul Uest,Ньюкасл-Уэст,Нюкасъл Уест,نیو کیسل ویسٹ",6327,V42
2964436,IE,,,53.34528,-7.04972,,,,,Edenderry,Edenderry,"Eadan Doire,Eaden Doire,Edenderry,Idenderri,Idunderi,edenderi,Éadan Doire,Éaden Doire,Идендерри,Идъндери,ედენდერი",4890,R45
2961423,IE,,,54.26969,-8.46943,,,,,Sligo,Sligo,"SXL,Shliggagh,Slaigo,Slajgo,Slajgou,Sligeach,Sligo,aslaygw,seullaigo,slyjw,suraigo,Слайго,Слайгоу,Слајго,اسلایگو,سليجو,スライゴ,슬라이고",20228,F91
2964152,IE,,,53.56611,-6.38556,,,,,Garristown,Garristown,Garristown,433,A42
2966837,IE,,,52.99139,-6.98028,,,,,Athy,Athy,"Adaj,Ataj,Athy,Baile Atha I,Baile Átha Í,atai,Адай,Атай,Атај,ათაი",12855,R14
2966753,IE,,,53.3275,-8.21944,,,,,Ballinasloe,Ballinasloe,"Balinaslou,Ballinaslo,Ballinasloe,Beal Atha na Sluaighe,Beeal Aah ny Sluigh,Béal Átha na Sluaighe,balinaslo,ballinaseullo,barinasuro,Балинаслоу,Баллинасло,ბალინასლო,バリナスロー,발리나슬로",6388,H53
2960936,IE,,,52.975,-6.04944,,,,,Wicklow,Wicklow,"Cill Maintain,Cill Maintainn,Cill Maintáinn,Cill Manntein,Cill Manntéin,Cill Mantan,Cill Mhanntain,Cill Mhantain,Cill Mhantáin,Wicklow",14048,A67
2966022,IE,,,53.20278,-6.09833,,,,,Bray,Bray,"Bray,Bre,Brej,Brejus,Brey,Bri Chualann,Bré,Brėjus,beulei,brei,bry  ayrlnd,bu rui,burei,Брей,Бреј,Բրեյ,بری، ایرلند,ბრეი,ブレイ,布瑞,브레이",6477,A98
2962864,IE,,,52.44639,-9.485,,,,,Listowel,Listowel,"Lios Tuathail,Listouehl,Listouul,Listowel,li si tuo er,liseutowel,Листоуъл,Листоуэл,لیسٹول,利斯托尔,리스토웰",4143,V31
2964320,IE,,,52.13583,-8.27583,,,,,Fermoy,Fermoy,"Fermoj,Fermoy,Furmoj,Mainistir Fhear Mai,Mainistir Fhear Maí,Mannishter er Maigh,famoi,Фермой,Фърмой,فرموئے,ファーモイ",4933,P61
2965664,IE,,,52.51583,-7.88556,,,,,Cashel,Cashel,"Caiseal,Cashel",2798,E25
