2768011,AT,03,318,47.7,16.1,31844,Niederösterreich,Politischer Bezirk Neunkirchen,Wartmannstetten,Ramplach,Ramplach,,429,2620
2768457,AT,03,315,48.20743,15.33348,31524,Niederösterreich,Politischer Bezirk Melk,Melk,Pöverding,Pöverding,,111,3390
2768511,AT,03,315,48.10525,15.35082,31521,Niederösterreich,Politischer Bezirk Melk,Mank,Poppendorf,Poppendorf,,64,3240
2769741,AT,06,606,47.15,15.48333,60654,Steiermark,Politischer Bezirk Graz-Umgebung,Weinitzen,Oberschöckl,Oberschöckl,,807,"8044,8061,8045"
2769905,AT,03,310,48.74651,15.93919,31037,Niederösterreich,Politischer Bezirk Hollabrunn,Retz,Obernalb,Obernalb,,490,2070
2771473,AT,06,617,47.16667,15.6,61729,Steiermark,Politischer Bezirk Weiz,Mitterdorf an der Raab,Mitterdorf an der Raab,Mitterdorf an der Raab,"Mitterdorf,Mitterdorf an der Raab",176,8181
2772495,AT,02,206,46.83333,13.48333,20634,Kärnten,Politischer Bezirk Spittal an der Drau,Seeboden am Millstätter See,Lieserbrücke,Lieserbrücke,,782,9851
2773004,AT,04,411,48.252,14.47655,41109,Oberösterreich,Politischer Bezirk Perg,Langenstein,Langenstein,Langenstein,"Langenshtajn,Langenstein,Лангенштайн",1351,"4222,4310,4312"
2773387,AT,04,413,48.51984,13.93985,41311,Oberösterreich,Politischer Bezirk Rohrbach,Hörbich,Krondorf,Krondorf,,101,"4121,4152"
2773991,AT,06,621,47.59575,15.50686,62145,Steiermark,Politischer Bezirk Bruck-Mürzzuschlag,Sankt Barbara im Mürztal,Kleinveitsch,Kleinveitsch,,391,"8663,8664"
2774029,AT,03,315,48.18165,15.38515,31543,Niederösterreich,Politischer Bezirk Melk,Schollach,Klein-Schollach,Klein-Schollach,Kleinschollach,33,3382
2774349,AT,06,610,46.78333,15.5,61016,Steiermark,Politischer Bezirk Leibnitz,Heimschuh,Kittenberg,Kittenberg,,39,8451
2775114,AT,05,503,47.96636,12.91314,50329,Salzburg,Politischer Bezirk Salzburg-Umgebung,Sankt Georgen bei Salzburg,Jauchsdorf,Jauchsdorf,,114,5113
2775307,AT,07,702,47.24504,10.73974,70203,Tirol,Politischer Bezirk Imst,Imst,Imst,Imst,"Imscht,Imst,imusuto,yi mu si te,Імст,Имст,イムスト,伊姆斯特",10504,6460
2777154,AT,04,408,48.18423,13.64373,40809,Oberösterreich,Politischer Bezirk Grieskirchen,Haag am Hausruck,Haag am Hausruck,Haag am Hausruck,"Haag,Haag am Hausruck,Khag-am-Khausrukk,Khag-na-Khausruke,hao si lu ke shan qu ha ge,Хаг-ам-Хаусрукк,Хаг-на-Хаусруке,豪斯鲁克山区哈格",1144,4680
2777325,AT,03,320,48.07349,15.22499,32006,Niederösterreich,Politischer Bezirk Scheibbs,Oberndorf an der Melk,Gstetten,Gstetten,,28,3281
2777456,AT,04,406,48.53815,14.5356,40602,Oberösterreich,Politischer Bezirk Freistadt,Grünbach,Grünbach,Grünbach,,592,4264
2777471,AT,04,408,48.16311,13.85333,40813,Oberösterreich,Politischer Bezirk Grieskirchen,Kematen am Innbach,Grübl,Grübl,"Grub,Grubl,Grübl",18,4633
2778340,AT,03,325,48.72497,15.40236,32505,Niederösterreich,Politischer Bezirk Zwettl,Göpfritz an der Wild,Göpfritz an der Wild,Göpfritz an der Wild,"Gopfritz,Gopfritz an der Wild,Göpfritz,Göpfritz an der Wild",770,3800
2779419,AT,06,606,46.98298,15.44988,60624,Steiermark,Politischer Bezirk Graz-Umgebung,Kalsdorf bei Graz,Forst,Forst,,357,"8073,8401"
2779419,AT,06,606,46.98298,15.44988,60656,Steiermark,Politischer Bezirk Graz-Umgebung,Wundschuh,Forst,Forst,,357,8142
2779674,AT,08,804,47.23306,9.6,80404,Vorarlberg,Politischer Bezirk Feldkirch,Feldkirch,Feldkirch,Feldkirch,"Fel'dkirkh,Feldkirch,pldqyrk,Фельдкирх,פלדקירך",33420,6800
2779910,AT,04,408,48.35893,13.86243,40831,Oberösterreich,Politischer Bezirk Grieskirchen,Waizenkirchen,Esthofen,Esthofen,,41,4730
2780354,AT,03,310,48.53333,15.78333,31026,Niederösterreich,Politischer Bezirk Hollabrunn,Maissau,Eggendorf am Walde,Eggendorf am Walde,"Eggendorf,Eggendorf am Walde",0,3712
2780591,AT,02,208,46.66667,14.68333,20817,Kärnten,Politischer Bezirk Völkermarkt,Völkermarkt,Dürrenmoos,Dürrenmoos,,336,9111
2780797,AT,04,418,48.03333,13.9,41803,Oberösterreich,Wels-Land,Bad Wimsbach-Neydharting,Dorfham,Dorfham,,36,4654
2780986,AT,06,623,46.73333,15.83333,62383,Steiermark,Politischer Bezirk Südoststeiermark,Mureck,Diepersdorf,Diepersdorf,,123,8480
2781154,AT,03,311,48.58333,15.75,31103,Niederösterreich,Politischer Bezirk Horn,Burgschleinitz-Kühnring,Buttendorf,Buttendorf,,83,3713
2782562,AT,04,412,48.19739,13.37766,41211,Oberösterreich,Politischer Bezirk Ried im Innkreis,Kirchheim im Innkreis,Ampfenham,Ampfenham,,58,4932
2782564,AT,04,417,48.08333,13.56667,41701,Oberösterreich,Politischer Bezirk Vöcklabruck,Ampflwang im Hausruckwald,Ampflwang,Ampflwang,"Ampfelwang,Ampflwang",1187,4843
2782634,AT,04,416,48.36001,14.25845,41614,Oberösterreich,Politischer Bezirk Urfahr-Umgebung,Lichtenberg,Altlichtenberg,Altlichtenberg,,1182,4040
3324631,AT,02,205,46.73917,14.35833,20527,Kärnten,Politischer Bezirk Sankt Veit an der Glan,St. Veit an der Glan,Muraunberg,Muraunberg,,70,9300
3334236,AT,07,707,47.0,12.45,70734,Tirol,Politischer Bezirk Lienz,Virgen,Göriach,Göriach,,133,9972
