3061559,CZ,,3503,50.36407,13.29197,,,Chomutov,,Želina,Želina,"Seelau,Zelina,Želina",0,432 01
3062402,CZ,,3604,50.32385,15.32305,,,Jičín,,Vršce,Vršce,,230,507 33
3062456,CZ,,3410,49.7354,12.94778,,,Tachov,,Vrbice u Stříbra,Vrbice u Stříbra,"Vrbice,Vrbice u Stribra,Vrbice u Stříbra",0,349 01
3062708,CZ,,3804,49.57866,17.95458,,,Nový Jičín,,Vlčnov,Vlčnov,Wolfsdorf,3039,742 31
3062999,CZ,,3605,50.37009,15.87661,,,Náchod,,Vestec,Vestec,,0,"552 05,551 01"
3063518,CZ,,3307,49.13831,14.06015,,,Strakonice,,Útěšov,Útěšov,,0,387 73
3063679,CZ,,3606,50.11387,15.85712,,,Pardubice,,Újezd u Sezemic,Újezd,,0,533 04
3063778,CZ,,3401,49.44359,13.08688,,,Domažlice,,Úboč,Úboč,,113,345 43
3063886,CZ,,3201,49.80324,14.50007,,,Benešov,,Tuchyně,Tuchyně,"Tuchin,Tuchyne,Tuchyně",0,257 44
3064362,CZ,,3205,49.86659,14.95426,,,Kutná Hora,,Talmberk,Talmberk,,0,285 06
3064387,CZ,,3304,49.57792,15.1777,,,Pelhřimov,,Syrov,Syrov,,58,396 01
3064665,CZ,,3503,50.44482,13.55387,,,Chomutov,,Sušany,Sušany,Zuscha,0,431 11
3064795,CZ,,3609,49.60255,16.49833,,,Svitavy,,Študlov,Študlov,,150,569 04
3065009,CZ,,3407,49.99062,13.32844,,,Plzeň-sever,,Strážiště,Strážiště,,0,331 41
3065099,CZ,,3707,49.28211,15.58563,,,Jihlava,,Stonařov,Stonařov,Stannern,927,588 33
3065214,CZ,,3510,50.6151,14.01721,,,Ústí nad Labem,,Stebno,Stebno,"Stoben,Stöben",436,400 04
3065221,CZ,,3706,49.00164,17.03046,,,Hodonín,,Stavěšice,Stavěšice,,368,696 38
3065382,CZ,,3801,49.95839,17.23647,,,Bruntál,,Stará Ves,Stará Ves,Altendorf,532,795 01
3065461,CZ,,3507,50.21855,13.49327,,,Louny,,Stachov,Stachov,,0,438 01
3065772,CZ,,3406,49.67679,13.34985,,,Plzeň-jih,,Šlovice,Šlovice,,0,321 00
3065811,CZ,,3301,48.96475,14.65931,,,České Budějovice,,Slavošovice,Slavošovice,,0,373 73
3065829,CZ,,3305,49.49044,14.01927,,,Písek,,Slavkovice,Slavkovice,,0,398 04
3065966,CZ,,3709,49.58353,16.82022,,,Prostějov,,Skřípov,Skřípov,Wachtel,353,798 52
