726418,BG,DOB,DOB28,43.56667,27.83333,DOB28-00,Добрич / Dobrich,Добрич / Dobrich,,Добрич / Dobrich,Dobrich,"Bazargic,Dobric,Dobrich,Dobrici,Dobricius,Dobricz,Dobritch,Dobritj,Dobrits,Dobritsch,Dobritsj,Dobritx,Dobritš,Dobriç,Dobriĉ,Dobrič,Dobričius,Dòbritx,Gorad Dobrych,Hadzi-Oghlu-Pazardzik,Hadži-Oghlu-Pazardžik,Khadzhioglu Bazardzhik,Khadzhioglu Pazardzhik,Ntomprits,Tolbuhin,Tolbukhin,dobeulichi,doburichi,duo bu li qi,dwbrch,dwbrych,dwbrytsh,dwbryz,Ντόμπριτς,Горад Добрыч,Добрич,Դոբրիչ,דובריץ,دوبريتش,دوبرچ,دوبریچ,ドブリチ,多布里奇,도브리치",94831,9300
727067,BG,RSE,RSE33,43.94248,26.20464,RSE33-00,Русе / Ruse,Сливо поле / Slivo pole,,Сливо поле / Slivo pole,Slivo Pole,"Kashikler,Kaya Makhle,Slivitsa,Slivo Pole,Sliwiza,Sliwo Pole,Сливо Поле",3252,7060
727558,BG,KRZ,KRZ16,41.71667,25.6,KRZ16-19,Кърджали / Kurdzhali,Кърджали / Kurdzhali,Миладиново / Miladinovo,Рудина / Rudina,Rudina,"Rudina,Tepedzhik,Рудина",0,6659
728257,BG,KNL,KNL48,42.28333,23.11667,KNL48-00,Кюстендил / Kjustendil,Дупница / Dupnica,,Пиперево / Piperevo,Piperevo,"Piperevo,Piperowo,Пиперево",0,2618
728538,BG,BLG,BLG42,41.63153,24.07879,BLG42-09,Благоевград / Blagoevgrad,Сатовча / Satovcha,Осина / Osina,Осина / Osina,Osina,"Osika,Osina,Ossina,Usina,Осина",0,2953
728712,BG,SZR,SZR31,42.46667,25.5,SZR31-00,Стара Загора / Stara Zagora,Стара Загора / Stara Zagora,,Ново село / Novo selo,Novo Selo,"Novo Selo,Nowo Selo,Yanaklari,Ново Село",0,6062
730073,BG,SLV,SLV11,42.88333,26.45,SLV11-00,Сливен / Sliven,Котел / Kotel,,Котел / Kotel,Kotel,"Kazan,Kotel,Котел",6421,8970
730713,BG,SLV,SLV20,42.6,26.41667,SLV20-22,Сливен / Sliven,Сливен / Sliven,Камен / Kamen,Камен / Kamen,Kamen,"Demir Dzhilii,Demirdzheli,Kamen,Камен",0,8882
730832,BG,SHU,SHU22,43.43333,27.11667,SHU22-06,Шумен / Shumen,Нови пазар / Novi pazar,Избул / Izbul,Избул / Izbul,Izbul,"Isbul,Izbul,Kozludzha-Teke,Teke Kozludzha,Избул",0,9959
732202,BG,BGS,BGS09,42.46667,26.91667,BGS09-00,Бургас / Burgas,Карнобат / Karnobat,,Добриново / Dobrinovo,Dobrinovo,"Dobrinovo,Dobrinowo,Khas Begliy,Добриново",0,8477
