3675637,CO,27,70429,8.54119,-74.62942,,Sucre,Majagual,,Majagual,Majagual,"Majagual,Majagul",11139,"703057,703058,703050"
3669138,CO,02,05664,6.46135,-75.55778,,Antioquia,San Pedro,,San Pedro De Los Milagros,San Pedro,San Pedro,8801,"051010,051017"
3670260,CO,16,41668,1.87884,-76.26722,,Huila,San Agustín,,San Agustin,San Agustín,"San Agustin,San Agustín",9481,"418069,418060,418068,418067,418077"
3675987,CO,27,70418,9.37899,-75.26769,,Sucre,Los Palmitos,,Los Palmitos,Los Palmitos,"Corregimiento Los Palmitos,Los Palmitos,Palmitos",14385,"701050,701058,701057"
3687925,CO,29,76001,3.43722,-76.5225,,Valle Del Cauca,Cali,,Cali,Cali,"CLO,Cali,Calium,Cáli,Kali,Kalis,Santiago de Cali,ka li,kali,kalli,kaly,santiago・de・kari,Кали,Калі,סנטיאגו דה קאלי,كالي,کالی,กาลี,サンティアゴ・デ・カリ,卡利,칼리",2392877,"760001,760015,760025,760016,760003,760004,760023,760034,760046,760044,760030,760013,760043,760026,760020,760040,760022,760041,760036,760002,760033,760012,760032,760042,760007,760014,760021,760010,760035,760011,760024,760045,760031,760008,760009,760006,760050"
3688928,CO,02,05088,6.33732,-75.55795,,Antioquia,Bello,,Bello,Bello,"Begio,Bejo,Bel'o,Beljas,Bella,Bello,bei yue,belio,byyw,byyw  antywkya,Μπέγιο,Бейо,Белла,Бельо,بییو,بییو، انتیوکیا,ბელიო,貝約",392939,"051057,051051,051059,051058,051050,051052,051053,051054"
3690429,CO,33,25001,4.37648,-74.66995,,Cundinamarca,Agua de Dios,,Agua De Dios,Agua de Dios,"Agua de Dios,Aqua de Dios,a gua de di ao si,agua-de-diosi,agwa d dayws,agwa dw daywz,اگوا د دایوس,اگوا دو دایوز,აგუა-დე-დიოსი,阿瓜德迪奧斯",10875,"252850,252857"
3671615,CO,38,47570,10.99376,-74.28439,,Magdalena,Puebloviejo,,Puebloviejo,Puebloviejo,"Pueblo Viejo,Puebloviejo",13523,"478048,478047,478040"
3669218,CO,27,70713,9.73586,-75.52626,,Sucre,San Onofre,,San Onofre,San Onofre,San Onofre,32957,"707010,707018,707017"
3669358,CO,19,50223,3.79536,-73.84063,,Meta,Cubarral,,Cubarral,Cubarral,"Cubarral,San Luis de Cubarral",2280,"506008,506001,506007"
3673041,CO,21,54520,7.43637,-72.63808,,Norte De Santander,Pamplonita,,Pamplonita,Pamplonita,Pamplonita,941,"543030,543037,543038"
3682385,CO,26,68276,7.06222,-73.08644,,Santander,Floridablanca,,Floridablanca,Floridablanca,"Florida,Floridablanca",252267,"681001,681003,681004,681007,681008,681002"
3665811,CO,20,52885,1.11577,-77.40169,,Nariño,Yacuanquer,,Yacuanquer,Yacuanquer,"Yacauquer,Yacuanquer,Yaquanquer",2643,"523007,523001,523008"
3675432,CO,33,25436,5.00864,-73.54115,,Cundinamarca,Manta,,Manta,Manta,Manta,1410,"250830,250837"
3688151,CO,19,50124,4.2817,-72.79399,,Meta,Cabuyaro,,Cabuyaro,Cabuyaro,"Cabuyaro,Pueblo Cabuyaro",1140,"501011,501017,501018"
3669084,CO,12,23686,8.95833,-75.83627,,Cordoba,San Pelayo,,San Pelayo,San Pelayo,San Pelayo,5637,"230528,230520,230538,230537,230527,230529"
3676928,CO,29,76400,4.53282,-76.10318,,Valle Del Cauca,La Unión,,La Union,La Unión,"La Unicion,La Union,La Unión,Lemos",23459,"761547,761540,761548"
3684276,CO,08,18247,1.67817,-75.28466,,Caqueta,El Doncello,,El Doncello,El Doncello,El Doncello,13082,"181010,181019,181017,181018"
6792004,CO,08,18785,0.87516,-75.61943,,Caqueta,Solita,,Solita,Solita,"SOH,Solita",0,"185078,185077,185070"
3671671,CO,10,20570,10.41706,-73.5804,,Cesar,Pueblo Bello,,Pueblo Bello,Pueblo Bello,"Corregimiento de Pueblo Bello,Pueblo Bello,Pueblo Viejo,Pueblo Viejo Sul",0,"201007,201008,201001"
